name,gz2class,smooth,completely_round,in_between,cigar_shaped,features_or_disks,edge_on,round_bulge_shape,boxy_bulge_shape,none_bulge_shape,bar,none_bulge_prominence,just_noticeable_bulge_prominence,obvious_bulge_prominence,dominant_bulge_prominence,spiral_structure,odd_feature,ring,lens_arc,disturbed,irregular,other,merge,dust,star
J154113.91+435114.5,Sc(o),,,,,1.0,,,,,,,1.0,,,,1.0,,,,,1.0,,,
J033213.21+001546.6,Sa(m),,,,,1.0,,,,,,,,,1.0,1.0,1.0,,,,,,1.0,,
J111232.14+435118.5,Sb?t,,,,,1.0,,,,,,,,1.0,,1.0,,,,,,,,,
J115845.47-014821.7,Sc,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,
J132117.82+423515.3,Sc(i),,,,,1.0,,,,,,,1.0,,,,1.0,,,,1.0,,,,
J145720.45-011103.7,Ei,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
J094045.91+024857.6,Sc2l,,,,,1.0,,,,,,,1.0,,,1.0,,,,,,,,,
J145449.84+490511.8,Sb,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,
J150014.25+354637.0,SBb2m,,,,,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,,,
J210450.52+002131.4,SBc?t,,,,,1.0,,,,,1.0,,1.0,,,1.0,,,,,,,,,
J092125.56+035143.3,Sd(d),,,,,1.0,,,,,,1.0,,,,,1.0,,,1.0,,,,,
J171429.16+641656.3,Er,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
J142935.52+350757.1,Sb,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,
J145124.02+354537.7,Ei(o),1.0,,1.0,,,,,,,,,,,,,1.0,,,,,1.0,,,
J102802.91+573038.5,Er(r),1.0,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,
J080857.79+355829.0,SBb2m,,,,,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,,,
J104439.41-002604.1,SBb2t,,,,,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,,,
J135208.81+044423.2,Sc,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,
J102340.34+020159.9,Ei,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
J102340.34+020159.9,Ei,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
J105000.13+070412.2,Sc?t,,,,,1.0,,,,,,,1.0,,,1.0,,,,,,,,,
J085357.61+552944.0,Sb,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,
J083628.94+363848.4,Ec,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,
J102802.91+573038.5,Er(r),1.0,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,
J140858.11+591725.1,Sb,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,
J080350.54+351323.7,Ei(o),1.0,,1.0,,,,,,,,,,,,,1.0,,,,,1.0,,,
J132254.97+425436.2,Er,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
J115222.86+060249.3,SBb?t,,,,,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,,,
J114157.65+084639.6,Sc,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,
J121912.77+003617.9,SBc2m,,,,,1.0,,,,,1.0,,1.0,,,1.0,,,,,,,,,
J095732.04+030438.1,Sb(m),,,,,1.0,,,,,,,,1.0,,1.0,1.0,,,,,,1.0,,
J085834.89+070232.9,Sc3t,,,,,1.0,,,,,,,1.0,,,1.0,,,,,,,,,
J082242.46+070518.8,Sb(r),,,,,1.0,,,,,,,,1.0,,,1.0,1.0,,,,,,,
J124752.34+542602.2,Sb?t,,,,,1.0,,,,,,,,1.0,,1.0,,,,,,,,,
J080514.10+364943.0,Sb(r),,,,,1.0,,,,,,,,1.0,,,1.0,1.0,,,,,,,
J111652.12+523804.8,Sb,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,
J121557.31+065548.8,Sc?t,,,,,1.0,,,,,,,1.0,,,1.0,,,,,,,,,
J153101.04-014828.4,SBb(m),,,,,1.0,,,,,1.0,,,1.0,,1.0,1.0,,,,,,1.0,,
J082220.98+502057.0,Ei,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
J150611.16+480315.1,Sc,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,
J115732.46+535535.9,SBb,,,,,1.0,,,,,1.0,,,1.0,,,,,,,,,,,
J130955.52+604404.5,Sb2l,,,,,1.0,,,,,,,,1.0,,1.0,,,,,,,,,
J110525.25+035052.8,SBb2t,,,,,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,,,
J111136.87+545920.0,Sb3t(r),,,,,1.0,,,,,,,,1.0,,1.0,1.0,1.0,,,,,,,
J121242.27+025623.6,Er,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
J121754.96+424132.7,Sb2m,,,,,1.0,,,,,,,,1.0,,1.0,,,,,,,,,
J101731.65+120116.0,Sc?t,,,,,1.0,,,,,,,1.0,,,1.0,,,,,,,,,
J102804.92+590453.4,SBc2m(m),,,,,1.0,,,,,1.0,,1.0,,,1.0,1.0,,,,,,1.0,,
J092207.60+361854.6,Sb?m,,,,,1.0,,,,,,,,1.0,,1.0,,,,,,,,,
J115714.15+031640.0,SBb2t,,,,,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,,,
J130414.50+652044.1,Sa?l(m),,,,,1.0,,,,,,,,,1.0,1.0,1.0,,,,,,1.0,,
J083108.36+305344.3,SBc2m,,,,,1.0,,,,,1.0,,1.0,,,1.0,,,,,,,,,
J152613.03+035305.5,Er,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
J155114.07+093314.6,SBb?m,,,,,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,,,
J102220.34+630431.3,Er,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
J142652.42+463927.2,Sb(o),,,,,1.0,,,,,,,,1.0,,,1.0,,,,,1.0,,,
J114529.10+482417.4,Sb(r),,,,,1.0,,,,,,,,1.0,,,1.0,1.0,,,,,,,
J153026.32+000010.8,Sb?t,,,,,1.0,,,,,,,,1.0,,1.0,,,,,,,,,
J092843.66+495307.0,Ei,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
J083628.94+363848.4,Ec,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,
J170330.74+205058.9,Sb(r),,,,,1.0,,,,,,,,1.0,,,1.0,1.0,,,,,,,
J105000.13+070412.2,Sc?t,,,,,1.0,,,,,,,1.0,,,1.0,,,,,,,,,
J095623.68+564806.4,Sb,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,
J134123.05+582132.1,Sb,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,
J132709.48+562028.0,SBb2m,,,,,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,,,
J133030.26+605806.5,SBc2l,,,,,1.0,,,,,1.0,,1.0,,,1.0,,,,,,,,,
J124647.30+003904.2,Er,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
J142109.97+025759.3,Sb3m,,,,,1.0,,,,,,,,1.0,,1.0,,,,,,,,,
J092243.97+105926.1,Seb,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,
J123643.30+660222.0,Sb2l,,,,,1.0,,,,,,,,1.0,,1.0,,,,,,,,,
J173708.14+541220.9,Sb(r),,,,,1.0,,,,,,,,1.0,,,1.0,1.0,,,,,,,
J100246.27+413600.5,SBb2m,,,,,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,,,
J163817.36+321900.1,SBc2m,,,,,1.0,,,,,1.0,,1.0,,,1.0,,,,,,,,,
J120112.81+063931.2,Sc2l,,,,,1.0,,,,,,,1.0,,,1.0,,,,,,,,,
J101326.32+502643.7,SBb?t,,,,,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,,,
J123643.30+660222.0,Sb2l,,,,,1.0,,,,,,,,1.0,,1.0,,,,,,,,,
J121425.66-005651.9,Ei,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
J115632.87+425939.3,Sc2m,,,,,1.0,,,,,,,1.0,,,1.0,,,,,,,,,
J084810.57+395121.1,Sb1m(m),,,,,1.0,,,,,,,,1.0,,1.0,1.0,,,,,,1.0,,
J094347.63+495350.6,SBb2t(r),,,,,1.0,,,,,1.0,,,1.0,,1.0,1.0,1.0,,,,,,,
J133355.71-011633.8,Sb,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,
J093745.97+005658.1,Er,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
J125339.58+053339.4,Sb?t,,,,,1.0,,,,,,,,1.0,,1.0,,,,,,,,,
J120439.55+525726.3,SBb2m(m),,,,,1.0,,,,,1.0,,,1.0,,1.0,1.0,,,,,,1.0,,
J232255.15-005335.0,SBb2m,,,,,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,,,
J142700.21+445536.1,Ser,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
J224520.16+001937.4,Sen,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,
J105358.47+123625.3,Er,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
J114721.04-031331.9,Ei,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
J121733.51+021200.2,Sc,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,
J075102.86+254459.2,Sb,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,
J140512.66+635728.2,Er,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
J160628.22+442024.0,SBb2t,,,,,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,,,
J020838.15-001343.0,Sc2m,,,,,1.0,,,,,,,1.0,,,1.0,,,,,,,,,
J131625.16+621443.9,Sc?t,,,,,1.0,,,,,,,1.0,,,1.0,,,,,,,,,
J170743.36+305618.2,Ei,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
J151932.67+330329.4,Ser,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
J102942.53+025347.2,Ei,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
J123520.96-022925.1,Ser,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
J141307.18+031707.3,SBb2m,,,,,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,,,
J121840.38-034425.6,Sa(i),,,,,1.0,,,,,,,,,1.0,,1.0,,,,1.0,,,,
J221930.90+004801.7,Ei,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
J115657.88+550821.6,Sb2m,,,,,1.0,,,,,,,,1.0,,1.0,,,,,,,,,
J125830.19-015835.5,Er,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
J080713.62+065101.3,Er,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
J233856.27-000743.8,Sb2m,,,,,1.0,,,,,,,,1.0,,1.0,,,,,,,,,
J234536.18-003000.8,Er,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
J105234.80+393349.5,SBb?t,,,,,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,,,
J110007.52+662433.4,Sc,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,
J230909.58-004856.3,Er,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
J140744.21+550704.9,Ei,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
J140141.85-010613.3,Ser,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
J132430.12+111009.6,Sb,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,
J114146.47+541348.6,Ser,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
J165921.68+624635.7,SBb2m,,,,,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,,,
J132936.22+550541.4,Sb?t(r),,,,,1.0,,,,,,,,1.0,,1.0,1.0,1.0,,,,,,,
J112525.71+533344.5,SBb2m,,,,,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,,,
J091947.81+023143.4,Sc2t,,,,,1.0,,,,,,,1.0,,,1.0,,,,,,,,,
J120112.81+063931.2,Sc2l,,,,,1.0,,,,,,,1.0,,,1.0,,,,,,,,,
J170743.36+305618.2,Ei,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
J151932.67+330329.4,Ser,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
J102942.53+025347.2,Ei,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
J123520.96-022925.1,Ser,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
J080833.31+351502.8,Ei,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
J134222.01+040102.8,Ei,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
J075007.35+313448.1,Er(l),1.0,1.0,,,,,,,,,,,,,,1.0,,1.0,,,,,,
J095155.27+054243.1,Sc,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,
J083003.83+064502.4,Sc3l(i),,,,,1.0,,,,,,,1.0,,,1.0,1.0,,,,1.0,,,,
J082825.43+262350.5,SBc2m(r),,,,,1.0,,,,,1.0,,1.0,,,1.0,1.0,1.0,,,,,,,
J103255.97+424049.3,SBb2m(o),,,,,1.0,,,,,1.0,,,1.0,,1.0,1.0,,,,,1.0,,,
J114135.83+043349.2,Sa,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,
J093703.07+091435.1,Sb3m,,,,,1.0,,,,,,,,1.0,,1.0,,,,,,,,,
J130315.50+152551.3,Er,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
J134608.17+455414.1,Ei,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
J131110.30+002621.9,SBb(r),,,,,1.0,,,,,1.0,,,1.0,,,1.0,1.0,,,,,,,
J123410.83+055616.8,Sc3m,,,,,1.0,,,,,,,1.0,,,1.0,,,,,,,,,
J085903.91+432129.4,Ei,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
J154919.53+345559.0,Sc?t,,,,,1.0,,,,,,,1.0,,,1.0,,,,,,,,,
J111058.98+090942.7,Er,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
J170330.74+205058.9,Sb(r),,,,,1.0,,,,,,,,1.0,,,1.0,1.0,,,,,,,
J083628.94+363848.4,Ec,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,
J095623.68+564806.4,Sb,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,
J100424.55+441036.7,Sb,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,
J110710.94+400759.5,Sc2l,,,,,1.0,,,,,,,1.0,,,1.0,,,,,,,,,
J135332.81+052955.3,Sb,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,
J113413.31+074637.9,SBa2l(d),,,,,1.0,,,,,1.0,,,,1.0,1.0,1.0,,,1.0,,,,,
J132706.60+033248.3,Sb?m,,,,,1.0,,,,,,,,1.0,,1.0,,,,,,,,,
J114719.95+075243.1,SBb2l(m),,,,,1.0,,,,,1.0,,,1.0,,1.0,1.0,,,,,,1.0,,
